Week,BS01,EV,AC
1,0.047503339,0.047503339,0.038002671
2,1.330430753,1.330430753,1.064344602
3,1.330430753,1.330430753,1.064344602
4,6.283,5.527,5.0264
5,6.891,6.2,5.5128
6,7.07,6.45,5.656
7,15.61368328,12,12.49094662
8,15.94282204,20.64500375,12.75425763
9,17.62565797,27.63151784,14.10052638
10,26.15369601,31.4340694,20.92295681
11,26.15369601,31.4340694,20.92295681
12,26.15369601,31.4340694,20.92295681
13,30.07539469,49.0163486,24.06031575
14,37.19967093,49.0163486,29.75973674
15,40.16615566,49.21523744,32.13292453
16,48.5296637,49.21523744,38.82373096
17,53.70263547,65.82713986,42.96210838
18,57.7817833,65.82713986,46.22542664
19,63.83050234,71.83702412,51.06440187
20,65.90633505,72.49286597,52.72506804
21,70.2753598,73.14870782,56.22028784
22,71.58463651,76.78574678,57.26770921
23,75.40667081,79.63696984,60.32533665
24,76.61796001,80.787416,61.29436801
25,77.12093063,81.40268495,61.6967445
26,82.62044547,82.00302325,66.09635638
27,83.08521021,88.08086204,66.46816817
28,84.52882906,90.171,67.62306325
29,89.57607992,90.64829302,71.66086394
30,90.05854045,,
31,91.8628629,,
32,91.92457923,,
33,92.17079854,,
34,92.60967001,,
35,100,,
