"","date","from","to","total_pro_hour","total_power_hour","ratio"
"1",2017-01-01,1900-01-02 00:00:00,1899-12-31 01:00:00,0.77,95,123.376623376623
"2",2017-01-01,1900-01-02 01:00:00,1899-12-31 02:00:00,0.74,86,116.216216216216
"3",2017-01-01,1900-01-02 02:00:00,1899-12-31 03:00:00,0.62,73,117.741935483871
"4",2017-01-01,1900-01-02 03:00:00,1899-12-31 04:00:00,0.61,70,114.754098360656
"5",2017-01-01,1900-01-02 04:00:00,1899-12-31 05:00:00,0.57,62,108.771929824561
"6",2017-01-01,1900-01-02 05:00:00,1899-12-31 06:00:00,0.73,86,117.808219178082
"7",2017-01-01,1900-01-02 06:00:00,1899-12-31 07:00:00,0.69,70,101.449275362319
"8",2017-01-01,1900-01-02 07:00:00,1899-12-31 08:00:00,1.01,93,92.0792079207921
"9",2017-01-01,1900-01-02 08:00:00,1899-12-31 09:00:00,0.91,116,127.472527472527
"10",2017-01-01,1900-01-02 09:00:00,1899-12-31 10:00:00,1.08,120,111.111111111111
"11",2017-01-01,1900-01-02 10:00:00,1899-12-31 11:00:00,1.09,122,111.926605504587
"12",2017-01-01,1900-01-02 11:00:00,1899-12-31 12:00:00,1.08,119,110.185185185185
"13",2017-01-01,1900-01-02 12:00:00,1899-12-31 13:00:00,1.1,117,106.363636363636
"14",2017-01-01,1900-01-02 13:00:00,1899-12-31 14:00:00,1.542,145,94.0337224383917
"15",2017-01-01,1900-01-02 14:00:00,1899-12-31 15:00:00,0.933,136,145.766345123258
"16",2017-01-01,1900-01-02 15:00:00,1899-12-31 16:00:00,1.052,137,130.228136882129
"17",2017-01-01,1900-01-02 16:00:00,1899-12-31 17:00:00,0.96,153,159.375
"18",2017-01-01,1900-01-02 17:00:00,1899-12-31 18:00:00,0.991,135,136.226034308779
"19",2017-01-01,1900-01-02 18:00:00,1899-12-31 19:00:00,1.011,146,144.411473788328
"20",2017-01-01,1900-01-02 19:00:00,1899-12-31 20:00:00,0.932,134,143.776824034335
"21",2017-01-01,1900-01-02 20:00:00,1899-12-31 21:00:00,0.968,133,137.396694214876
"22",2017-01-01,1900-01-02 21:00:00,1899-12-31 22:00:00,0.711,124,174.402250351617
"23",2017-01-01,1900-01-02 22:00:00,1899-12-31 23:00:00,0.78,72,92.3076923076923
"24",2017-01-01,1900-01-02 23:00:00,1900-01-01 00:00:00,0.61,75,122.950819672131
"25",2017-01-02,1900-01-02 00:00:00,1899-12-31 01:00:00,0.56,48,85.7142857142857
"26",2017-01-02,1900-01-02 01:00:00,1899-12-31 02:00:00,0.442,42,95.0226244343891
"27",2017-01-02,1900-01-02 02:00:00,1899-12-31 03:00:00,0.47,40,85.1063829787234
"28",2017-01-02,1900-01-02 03:00:00,1899-12-31 04:00:00,0.698,59,84.5272206303725
"29",2017-01-02,1900-01-02 04:00:00,1899-12-31 05:00:00,0.82,86,104.878048780488
"30",2017-01-02,1900-01-02 05:00:00,1899-12-31 06:00:00,0.47,48,102.127659574468
"31",2017-01-02,1900-01-02 06:00:00,1899-12-31 07:00:00,1.04,121,116.346153846154
"32",2017-01-02,1900-01-02 07:00:00,1899-12-31 08:00:00,1.08,146,135.185185185185
"33",2017-01-02,1900-01-02 08:00:00,1899-12-31 09:00:00,1.08,122,112.962962962963
"34",2017-01-02,1900-01-02 09:00:00,1899-12-31 10:00:00,0.96,82,85.4166666666667
"35",2017-01-02,1900-01-02 10:00:00,1899-12-31 11:00:00,0.91,73,80.2197802197802
"36",2017-01-02,1900-01-02 11:00:00,1899-12-31 12:00:00,0.85,65,76.4705882352941
"37",2017-01-02,1900-01-02 12:00:00,1899-12-31 13:00:00,0.71,57,80.2816901408451
"38",2017-01-02,1900-01-02 13:00:00,1899-12-31 14:00:00,0.969,48,49.5356037151703
"39",2017-01-02,1900-01-02 14:00:00,1899-12-31 15:00:00,0.831,65,78.2190132370638
"40",2017-01-02,1900-01-02 15:00:00,1899-12-31 16:00:00,1.129,96,85.0310008857396
"41",2017-01-02,1900-01-02 16:00:00,1899-12-31 17:00:00,1.23,109,88.6178861788618
"42",2017-01-02,1900-01-02 17:00:00,1899-12-31 18:00:00,1.121,114,101.694915254237
"43",2017-01-02,1900-01-02 18:00:00,1899-12-31 19:00:00,0.944,110,116.525423728814
"44",2017-01-02,1900-01-02 19:00:00,1899-12-31 20:00:00,0.979,112,114.402451481103
"45",2017-01-02,1900-01-02 20:00:00,1899-12-31 21:00:00,1.026,108,105.263157894737
"46",2017-01-02,1900-01-02 21:00:00,1899-12-31 22:00:00,0.871,118,135.476463834673
"47",2017-01-02,1900-01-02 22:00:00,1899-12-31 23:00:00,0.81,99,122.222222222222
"48",2017-01-02,1900-01-02 23:00:00,1900-01-01 00:00:00,0.68,79,116.176470588235
